id,instruction,context,dolly_category,tag,tag_reason
19,"Based on this passage, which years did the Patriots win the Super Bowl?","The Patriots hired head coach Bill Belichick, who had served as defensive coordinator under Parcells including during Super Bowl XXXI, in 2000. Their new home field, Gillette Stadium, opened in 2002 to replace the aging Foxboro Stadium. Long–time starting quarterback Drew Bledsoe, who was the franchise's star throughout the 1990s, went down with a sheared blood vessel in his chest in a week two match–up in 2001 against the rival New York Jets. Backup quarterback Tom Brady, drafted by the Patriots in sixth round of the 2000 NFL draft, became the starting quarterback. Brady's successful play led to Bledsoe never getting his job back as a starter, and would serve as the franchise's starting quarterback for the next 18 years. Under Belichick and Brady, the Patriots became one of the most consistently dominant teams in the NFL, with many describing the team as a ""dynasty"". Within the first few seasons of the 21st century, the team won three Super Bowls in four seasons (2001, 2003, and 2004), over the St. Louis Rams, Carolina Panthers, and Philadelphia Eagles, respectively. The Patriots finished the 2007 regular season with a perfect 16–0 record, becoming only the fourth team in league history to go undefeated in the regular season, and the only one since the league expanded its regular season schedule to 16 games. After advancing to Super Bowl XLII, the team's fourth Super Bowl in seven years, the Patriots were upset by the Giants to end their bid for a 19–0 season. With the loss, the Patriots ended the year at 18–1, becoming only one of three teams to go 18–1 along with the 1984 San Francisco 49ers and the 1985 Chicago Bears. However, both the Bears and 49ers lost their only game during the regular season, and both would win their respective Super Bowl.

The Patriots returned to the Super Bowl in 2011 but lost again to the Giants, 21–17. In 2014, the Patriots reached a record-tying eighth Super Bowl, where they defeated the defending champion Seattle Seahawks by a score of 28–24 to win Super Bowl XLIX for their fourth title. After Seattle had driven the ball to New England's 1-yard line with under a minute to go, New England rookie cornerback Malcolm Butler made a critical interception on Seattle's final offensive play that helped to seal the victory. New England became the first team to reach nine Super Bowls in the 2016–17 playoffs and faced the Atlanta Falcons in Super Bowl LI. Losing 28–3 midway through the third quarter, the Patriots scored 25 unanswered points to tie the game in the final seconds of regulation. In the first overtime in Super Bowl history, the Patriots won the coin toss and scored a touchdown to claim their fifth Super Bowl victory. The Patriots extended their record to ten Super Bowl appearances in the 2017–18 playoffs but lost to the Philadelphia Eagles in Super Bowl LII. The Patriots returned to the championship game for a third consecutive season in Super Bowl LIII, where they defeated the Los Angeles Rams 13–3 to win their sixth Super Bowl, tying them with the Pittsburgh Steelers for most Super Bowl victories in NFL history.",,closeqa,问题要求根据文本找出爱国者队赢得超级碗的具体年份，答案可通过文本直接提取，属于封闭式问答。
2,"Given these paragraphs about Large language models, when did LLMs emerge?","A large language model (LLM) is a language model consisting of a neural network with many parameters (typically billions of weights or more), trained on large quantities of unlabelled text using self-supervised learning. LLMs emerged around 2018 and perform well at a wide variety of tasks. This has shifted the focus of natural language processing research away from the previous paradigm of training specialized supervised models for specific tasks.

Properties
Though the term large language model has no formal definition, it often refers to deep learning models having a parameter count on the order of billions or more. LLMs are general purpose models which excel at a wide range of tasks, as opposed to being trained for one specific task (such as sentiment analysis, named entity recognition, or mathematical reasoning). The skill with which they accomplish tasks, and the range of tasks at which they are capable, seems to be a function of the amount of resources (data, parameter-size, computing power) devoted to them, in a way that is not dependent on additional breakthroughs in design.

Though trained on simple tasks along the lines of predicting the next word in a sentence, neural language models with sufficient training and parameter counts are found to capture much of the syntax and semantics of human language. In addition, large language models demonstrate considerable general knowledge about the world, and are able to ""memorize"" a great quantity of facts during training.

Hallucinations
Main article: Hallucination (artificial intelligence)
In artificial intelligence in general, and in large language models in particular, a ""hallucination"" is a confident response that does not seem to be justified by the model's training data.

Emergent abilities

On a number of natural language benchmarks involving tasks such as question answering, models perform no better than random chance until they reach a certain scale (in this case, measured by training computation), at which point their performance sharply increases. These are examples of emergent abilities.
Unpredictable abilities that have been observed in large language models but that were not present in simpler models (and that were not explicitly designed into the model) are usually called ""emergent abilities"". Researchers note that such abilities ""cannot be predicted simply by extrapolating the performance of smaller models"". These abilities are discovered rather than programmed-in or designed, in some cases only after the LLM has been publicly deployed. Hundreds of emergent abilities have been described. Examples include multi-step arithmetic, taking college-level exams, identifying the intended meaning of a word, chain-of-thought prompting, decoding the International Phonetic Alphabet, unscrambling a word’s letters, identifying offensive content in paragraphs of Hinglish (a combination of Hindi and English), and generating a similar English equivalent of Kiswahili proverbs.

Architecture and training
Large language models have most commonly used the transformer architecture, which, since 2018, has become the standard deep learning technique for sequential data (previously, recurrent architectures such as the LSTM were most common). LLMs are trained in an unsupervised manner on unannotated text. A left-to-right transformer is trained to maximize the probability assigned to the next word in the training data, given the previous context. Alternatively, an LLM may use a bidirectional transformer (as in the example of BERT), which assigns a probability distribution over words given access to both preceding and following context. In addition to the task of predicting the next word or ""filling in the blanks"", LLMs may be trained on auxiliary tasks which test their understanding of the data distribution such as Next Sentence Prediction (NSP), in which pairs of sentences are presented and the model must predict whether they appear side-by-side in the training corpus.

The earliest LLMs were trained on corpora having on the order of billions of words. The first model in OpenAI's GPT series was trained in 2018 on BookCorpus, consisting of 985 million words. In the same year, BERT was trained on a combination of BookCorpus and English Wikipedia, totalling 3.3 billion words. In the years since then, training corpora for LLMs have increased by orders of magnitude, reaching up to hundreds of billions or trillions of tokens.

LLMs are computationally expensive to train. A 2020 study estimated the cost of training a 1.5 billion parameter model (1-2 orders of magnitude smaller than the state of the art at the time) at $1.6 million.

A 2020 analysis found that neural language models' capability (as measured by training loss) increased smoothly in a power law relationship with number of parameters, quantity of training data, and computation used for training. These relationships were tested over a wide range of values (up to seven orders of magnitude) and no attenuation of the relationship was observed at the highest end of the range (including for network sizes up to trillions of parameters).

Application to downstream tasks
Between 2018 and 2020, the standard method for harnessing an LLM for a specific natural language processing (NLP) task was to fine tune the model with additional task-specific training. It has subsequently been found that more powerful LLMs such as GPT-3 can solve tasks without additional training via ""prompting"" techniques, in which the problem to be solved is presented to the model as a text prompt, possibly with some textual examples of similar problems and their solutions.

Fine-tuning
Main article: Fine-tuning (machine learning)
Fine-tuning is the practice of modifying an existing pretrained language model by training it (in a supervised fashion) on a specific task (e.g. sentiment analysis, named entity recognition, or part-of-speech tagging). It is a form of transfer learning. It generally involves the introduction of a new set of weights connecting the final layer of the language model to the output of the downstream task. The original weights of the language model may be ""frozen"", such that only the new layer of weights connecting them to the output are learned during training. Alternatively, the original weights may receive small updates (possibly with earlier layers frozen).

Prompting
See also: Prompt engineering and Few-shot learning (natural language processing)
In the prompting paradigm, popularized by GPT-3, the problem to be solved is formulated via a text prompt, which the model must solve by providing a completion (via inference). In ""few-shot prompting"", the prompt includes a small number of examples of similar (problem, solution) pairs. For example, a sentiment analysis task of labelling the sentiment of a movie review could be prompted as follows:

Review: This movie stinks.
Sentiment: negative

Review: This movie is fantastic!
Sentiment:

If the model outputs ""positive"", then it has correctly solved the task. In zero-shot prompting, no solve examples are provided. An example of a zero-shot prompt for the same sentiment analysis task would be ""The sentiment associated with the movie review 'This movie is fantastic!' is"".

Few-shot performance of LLMs has been shown to achieve competitive results on NLP tasks, sometimes surpassing prior state-of-the-art fine-tuning approaches. Examples of such NLP tasks are translation, question answering, cloze tasks, unscrambling words, and using a novel word in a sentence. The creation and optimisation of such prompts is called prompt engineering.

Instruction tuning
Instruction tuning is a form of fine-tuning designed to facilitate more natural and accurate zero-shot prompting interactions. Given a text input, a pretrained language model will generate a completion which matches the distribution of text on which it was trained. A naive language model given the prompt ""Write an essay about the main themes of Hamlet."" might provide a completion such as ""A late penalty of 10% per day will be applied to submissions received after March 17."" In instruction tuning, the language model is trained on many examples of tasks formulated as natural language instructions, along with appropriate responses. Various techniques for instruction tuning have been applied in practice. OpenAI's InstructGPT protocol involves supervised fine-tuning on a dataset of human-generated (prompt, response) pairs, followed by reinforcement learning from human feedback (RLHF), in which a reward function was learned based on a dataset of human preferences. Another technique, ""self-instruct"", fine-tunes the language model on a training set of examples which are themselves generated by an LLM (bootstrapped from a small initial set of human-generated examples).

https://en.wikipedia.org/wiki/Large_language_model",,closeqa,问题明确要求从文本中找出LLMs出现的时间点（2018），答案单一且可直接从文中获取。
20,What does the Obilic Medal commemorate?,"""The Obilić Medal (Serbian: Обилића медаља) or Medal for Bravery """"Miloš Obilić"""" was a medal established by Petar II Petrović-Njegoš as the highest military decoration in Montenegro, based on the cult of national hero Miloš Obilić.

The official name of the medal was the Medal for Bravery """"Miloš Obilić"""" but it was known as Obilić Medal.

It was established in 1847 and granted to soldiers for the acts of great personal courage, or for personal courage demonstrated on the battlefield, prepared for the movement for liberation and revenge of the Kosovo Battle. Another reason for introduction of this medal by Njegoš was his wish to make warfare against the Ottomans more civilized (to replace customary collection and exhibition of body parts of killed Muslim enemies).""",,closeqa,问题询问特定勋章的纪念意义，答案可从提供的文本中直接提取，具有明确性和唯一性。
21,"Given this reference text about Cy Young, what type of work did his family do while he was growing up, how many older siblings did he have, and what two states did he live in as a child?","Cy Young was the oldest child born to Nancy (Mottmiller) and McKinzie Young, Jr., and was christened Denton True Young. He was of part German descent. The couple had four more children: Jesse Carlton, Alonzo, Ella, and Anthony. When the couple married, McKinzie's father gave him the 54 acres (220,000 m2) of farm land he owned. Young was born in Gilmore, a tiny farming community located in Washington Township, Tuscarawas County, Ohio. He was raised on one of the local farms and went by the name Dent Young in his early years. Young was also known as ""Farmer Young"" and ""Farmboy Young"". Young stopped his formal education after he completed the sixth grade so he could help out on the family's farm. In 1885, Young moved with his father to Nebraska, and in the summer of 1887, they returned to Gilmore.
https://en.wikipedia.org/wiki/Cy_Young",,information_extraction,从文本中提取特定结构化信息（家庭工作、兄弟姐妹数量、童年居住州）
22,Who is known as The Invincibles in English football?,"In football, ""The Invincibles"" is a nickname used to refer to the Preston North End team of the 1888–89 season, managed by William Sudell, and the Arsenal team of the 2003–04 season managed by Arsène Wenger.  Preston North End earned the nickname after completing an entire season undefeated in league and cup competition (27 games), while Arsenal were undefeated in the league (38 games) in a run that stretched to a record 49 games. The actual nickname of the Preston team was the ""Old Invincibles"" but both versions have been in use.",,closeqa,问题询问特定足球昵称的所属队伍，答案明确且唯一，可从提供的材料中直接提取。
23,"Given a reference text about Mikel Artetxe Guezuraga, tell me when he turned professional and what his biggest wins are.","Mikel Artetxe Guezuraga (born 24 September 1976) is a Spanish former road bicycle racer, who rode professionally between 1999 and 2007 for the Euskaltel–Euskadi, 3 Molinos Resort and Fuerteventura–Canarias teams.

Career
He turned professional in 1999 with Euskaltel–Euskadi, where he stayed for seven seasons. In his time with Euskaltel–Euskadi, Artetxe took two stages and the overall victory in the GP Jornal de Noticias in 2000, a stage victory in the 2001 Vuelta a Andalucía and a stage victory in the 2002 Troféu Joaquim Agostinho.

At the start of the 2006 season, Artetxe moved a division down to the newly formed 3 Molinos Resort team. Here he had the biggest wins of his career, with a stage win in the Vuelta a Asturias and the sprints classification in the Troféu Joaquim Agostinho. With the rapid demise of 3 Molinos Resort, Artetxe moved to the newly formed Fuerteventura–Canarias team for 2007.",,open_qa,请求开放性的信息查询，需从提供的文本中提取两个信息点：转为职业车手的时间和最大的胜利。
24,What is one of Poseidon's many powers?,"The Call to Adventure
The hero begins in a situation of normality from which some information is received that acts as a call to head off into the unknown. According to Campbell, this region is represented by

a distant land, a forest, a kingdom underground, beneath the waves, or above the sky, a secret island, lofty mountaintop, or profound dream state; but it is always a place of strangely fluid and polymorphous beings, unimaginable torments, superhuman deeds, and impossible delight. The hero can go forth of their own volition to accomplish the adventure, as did Theseus when he arrived in his father's city, Athens, and heard the horrible history of the Minotaur; or they may be carried or sent abroad by some benign or malignant agent as was Odysseus, driven about the Mediterranean by the winds of the angered god, Poseidon. The adventure may begin as a mere blunder... or still, again, one may be only casually strolling when some passing phenomenon catches the wandering eye and lures one away from the frequented paths of man. Examples might be multiplied, ad infinitum, from every corner of the world.",,closeqa,问题询问波塞冬的某个具体能力，答案可从文本中直接提取，具有明确范围
25,Who won the 2000 World Series?,"The 2000 World Series was the championship series of Major League Baseball's (MLB) 2000 season. The 96th edition of the World Series, it was a best-of-seven playoff between crosstown opponents, the two-time defending World Series champions and American League (AL) champion New York Yankees and the National League (NL) champion New York Mets. The Yankees defeated the Mets, four games to one, to win their third consecutive championship and 26th overall. The series was often referred to as the ""Subway Series"", referring to the longstanding matchup between New York baseball teams; it was the first World Series contested between two New York teams since the 1956 World Series and the first since the New York Giants and the Brooklyn Dodgers moved west to California (as the current San Francisco Giants and Los Angeles Dodgers, respectively) in 1958 and the subsequent formation of the Mets in 1962. This World Series that featured teams from the same city or state, was the first of its kind since 1989 between the Oakland Athletics and the San Francisco Giants. Yankees shortstop Derek Jeter was named the World Series Most Valuable Player.",,closeqa,问题询问特定事实（2000年世界大赛获胜者），答案可从文本直接提取，且答案唯一。
26,"Classify the celebrities based on whether they were born in 1990 or 1991.
Emma Watson, Jennifer Lawrence, Ed Sheeran, Charlie Puth",,,classification,任务是根据出生年份对名人进行分类
27,"Identify which instrument is string or woodwind: Balaban, Lute",,,classification,任务是对乐器进行分类
28,"Tell me which of these characters are in Disney or Dreamworks movies: Shrek, Simba, Lightning McQueen, Po.",,,classification,需要判断每个角色所属的电影公司，属于分类任务。
29,Which is a species of fish? Sneaker or Sole,,,closeqa,问题要求从两个选项中选择一个明确的答案，答案唯一且可通过知识判断确定。
3,"Given this paragraph about ferrets, do they spend the majority of the time sleeping in a 24 hour day?","Ferrets spend 14–18 hours a day asleep and are most active around the hours of dawn and dusk, meaning they are crepuscular. If they are caged, they should be taken out daily to exercise and satisfy their curiosity; they need at least an hour and a place to play. Unlike their polecat ancestors, which are solitary animals, most ferrets will live happily in social groups. They are territorial, like to burrow, and prefer to sleep in an enclosed area.",,closeqa,问题询问雪貂是否在24小时中大部分时间都在睡觉，且文本明确提供了14-18小时的睡眠时间范围，答案可直接从材料中得出。
30,"Identify which instrument is string or percussion: Pambai, Steel Guitar",,,classification,要求对乐器进行类别划分
31,"Classify the cities based on whether they are located in Wallis and Futuna or Guinea.
Mamou, Leava, Mata-Utu, Conakry, Guéckédou",,,classification,任务是对城市进行分类，判断其所属的国家/地区
32,"Classify each of the following as either a television show or a movie: The Wire, The Sopranos, Game of Thrones, Mad Men, Harry Potter, Westworld, Iron Man.",,,classification,要求对每个项目进行类别判定
33,"Tell me whether the following are foods or beverages: coffee, water, corn, tea, rice, beef.",,,classification,要求对列出的物品进行类别判断（食物或饮料）
34,"Identify which instrument is string or percussion: Kouxian, Tres cubano",,,classification,要求对乐器进行分类为弦乐或打击乐，输出类别标签。
35,Is the sun a star or a planet?,,,closeqa,问题询问太阳是恒星还是行星，答案明确且唯一，可通过天文学知识直接判断。
36,"Which of these is not like the other?  Baseball, basketball, rock, puck,",,,classification,要求判断哪一项与其他不同类，属于类别区分任务
37,"I am looking at items on my desk right now, tell me which ones are actually considered office accessories.",,,classification,请求对物品进行类别判断
38,"Identify which instrument is string or percussion: Caxixi, Gunjac",,,classification,分类乐器为弦乐或打击乐，需判断类别标签
39,"Tell me whether these cities are in Italy or Switzerland: Milan, Florence, Zurich, Bern, Lucerne, Rome",,,classification,要求对城市所属国家进行分类判断
4,Who does the Navy Cross is awarded to?,"The Navy Cross is the United States Naval Service's second-highest military decoration awarded for sailors and marines who distinguish themselves for extraordinary heroism in combat with an armed enemy force. The medal is equivalent to the Army's Distinguished Service Cross, the Air and Space Forces' Air Force Cross, and the Coast Guard Cross.

The Navy Cross is bestowed by the Secretary of the Navy and may also be awarded to members of the other armed services, and to foreign military personnel while serving with the U.S. Naval Service. The Navy Cross was established by Act of Congress (Public Law 65-253) and approved on February 4, 1919.",,open_qa,提问涉及对特定知识的解释和背景信息，答案开放且需详细说明
40,"Classify each of the following into either a solid, liquid or gas: blood, xenon, gold, wood, neon, brick, milk, xenon, coffee, gases, helium",,,classification,"Assigning items to predefined categories (solid, liquid, gas)"
41,"Which is a bird or fish: Black grouse, Blackfish",,,classification,要求对给定名称进行类别判定（鸟或鱼）
42,Which is a species of fish? Black Mamba or Black Sea Bass,,,closeqa,问题询问两个选项中哪个是鱼类物种，答案明确且唯一，属于封闭式问答。
43,"Identify which instrument is string or percussion: Cowbell, Crwth",,,classification,需要将乐器分类为弦乐或打击乐
44,"Which of the following bodies of water are below sea level: Dead Sea, Lake Ontario, Sea of Galilee, the Hudson Bay, Lake Assal?",,,closeqa,问题要求从给定选项中识别哪些水域低于海平面，答案明确且可通过地理知识直接确认。
45,"Classify each of the following as either characters from books by Anne Rice or Stephanie Meyer: Lestat de Lioncourt, Memnoch, Lasher, Armand, Yvette, Bella Swan, Edward Cullen, Jacob Black, Melanie Stryder, The Seeker",,,classification,任务是对给定名单进行归属分类，判断其属于哪位作家的作品角色。
46,"When being in cold weather, categorize each of the following as ""Useful"" or ""Not Useful"": Coat, Air Condition, Ice, Beanie, Pants, Bikini",,,classification,Assigning categories ('Useful' or 'Not Useful') to items based on their relevance in cold weather.
47,"Choose the word which is different from the rest:  Trigger, Muzzle, Pallete, Barrel, Bullet",,,classification,任务是区分一个不同的词，属于分类或辨别类别
48,Which is a species of fish? Plaice or Place,,,closeqa,问题询问特定知识，答案唯一确定
49,What is genomics?,,,open_qa,百科型提问，答案开放多样
5,"Given a reference text about The Universal Data Element Framework (UDEF), tell me how the framework is used.","The Universal Data Element Framework (UDEF) was  a controlled vocabulary developed by The Open Group. It provided a framework for categorizing, naming, and indexing data. It assigned to every item of data a structured alphanumeric tag plus a controlled vocabulary name that describes the meaning of the data. This allowed relating data elements to similar elements defined by other organizations.

UDEF defined a Dewey-decimal like code for each concept. For example, an ""employee number"" is often used in human resource management. It has a UDEF tag a.5_12.35.8 and a controlled vocabulary description ""Employee.PERSON_Employer.Assigned.IDENTIFIER"".

UDEF has been superseded by the Open Data Element Framework (O-DEF).",,open_qa,问题询问框架的使用方式，答案需基于提供的参考文本解释UDEF如何被应用，属于开放式知识问答。
50,Which is a species of fish? Panga or Pangea,,,closeqa,问题要求从两个选项中选择一个明确答案，且答案可通过事实知识直接判断
